location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
United States,3 Semester(s),6.5 IELTS,Masters Degree,engineering,Master of Technology,Kent State University,"USD 30,499",/global/Categories/Kent-State-University/Master-of-Technology/p/PRG-US-00008887,"january,june,august"
Australia,12 Month(s),,Diploma,engineering,Diploma in Engineering - Mechanical Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Mechanical-Engineering/p/PRG-AU-00329695,"january,may,august"
Australia,12 Month(s),,Diploma,engineering,Diploma in Engineering - Electrical Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",/global/Categories/Engineering/Electrical-Engineering/Diploma-in-Engineering-Electrical-Engineering/p/PRG-AU-00329694,"january,may,august"
Australia,12 Month(s),,Diploma,engineering,Diploma in Engineering - Petroleum Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Petroleum-Engineering/p/PRG-AU-00329691,"january,may,august"
Australia,12 Month(s),,Diploma,engineering,Diploma in Engineering - Civil Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Civil-Engineering/p/PRG-AU-00276589,"january,may,august"
United Kingdom,1 Year(s),6.5 IELTS,Masters Degree (Taught),business,MSc International Business,University of Birmingham,"GBP 25,380",/global/Categories/Business/International-Business/MSc-International-Business/p/PRG-UK-00073079,september
United States,3 Semester(s),6.5 IELTS,Masters Degree,economics,Master of Science in Information Systems - Technology Innovation and Entre...,University of Colorado - Denver,"USD 41,340",/global/Categories/Economics/Business-Economics/Master-of-Science-in-Information-Systems-Technology-Innovation-and-Entrepreneurship/p/PRG-US-00290127,"january,june,august"
United Kingdom,1 Year(s),7.0 IELTS,Masters Degree (Taught),environmental-science,MSc Management (CSR and Sustainability),University of Bristol,"GBP 26,500",/global/Categories/University-of-Bristol/MSc-Management-CSR-and-Sustainability/p/PRG-UK-00372965,september
Australia,12 Month(s),,Diploma,engineering,Diploma in Engineering - Mechatronic Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Mechatronic-Engineering/p/PRG-AU-00329701,"january,may,august"
Australia,12 Month(s),,Diploma,engineering,Diploma in Engineering - Mining Engineering,UNSW Global Pty Ltd Foundation Year,"AUD 43,200",/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Diploma-in-Engineering-Mining-Engineering/p/PRG-AU-00329683,"january,may,august"
